split,dataset_split,slice_id,model_type,case_index,repeat,matched_exact_blocks,true_descent,true_directional_derivative,cosine_to_exact
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,5,15,True,-41.51592408591666,0.9499331257511694
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,6,15,True,-40.8854857349066,0.9355079554929077
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,7,15,True,-42.143463789566034,0.9642919715518052
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,8,15,True,-40.63097445559512,0.9296844383625902
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,9,15,True,-39.94336046828201,0.913951022362339
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,10,15,True,-41.06501600054815,0.9396158189251385
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,11,15,True,-39.23544254893459,0.8977530285393114
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,12,15,True,-42.03702874646224,0.9618566127006858
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,13,15,True,-41.34980696680223,0.9461321708723953
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,14,15,True,-40.20027483693342,0.9198295250004683
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,15,15,True,-41.95594068858041,0.9600012226550407
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,16,15,True,-41.78563724657019,0.956104479789335
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,17,15,True,-39.48992595240718,0.9035759078376793
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,18,15,True,-38.88401427078575,0.8897119365947261
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,19,15,True,-40.62017633186904,0.929437364603564
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,20,15,True,-41.657314349975366,0.9531683011313463
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,21,15,True,-41.690039874415845,0.9539170995841822
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,22,15,True,-42.14653621318605,0.964362272214437
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,23,15,True,-42.91650772564466,0.9819801251629943
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,24,15,True,-41.63642567407382,0.9526903436817925
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,25,15,True,-42.003233784667074,0.961083344264548
