case_id,label,frequency_hz,exact_directional_derivative,surrogate_directional_derivative,realized_directional_error,primal_residual_norm,tangent_residual_norm,receiver_resolvent_norm,directional_tangent_resolvent_norm,directional_error_bound
13,s36_f4,4.0,-0.02339503799744818,-0.3084246057385587,0.2850295677411105,646.441455069665,4598.170842299584,0.028464024713111834,5.424913727302486e-05,2895.833360479092
13,s43_f3,3.0,-0.004632528932277586,-0.025508180045567003,0.020875651113289418,348.95767459409683,2850.8669555765487,0.027589441752045717,3.206275898492101e-05,810.7308848097049
13,s43_f4,4.0,-0.1105186394361329,-0.7119429336343714,0.6014242941982385,633.5988090774963,5187.508836183282,0.028464024713111834,5.424913727302486e-05,3156.5031002434553
14,s36_f3,3.0,-0.22461737797427472,-0.574375655774907,0.3497582778006323,461.3872145959658,2581.3980386908065,0.02431898573005924,9.879396211929863e-05,933.3819837574644
14,s36_f4,4.0,-0.4918148111545233,-0.6044075656786949,0.11259275452417161,582.1379060472984,3157.050961172394,0.025707258341039808,0.00011853475746560692,1941.8015237391378
14,s43_f3,3.0,-0.20380724993129878,-0.26423764337331684,0.06043039344201806,353.49228863848134,2232.4065968230593,0.02431898573005924,9.879396211929863e-05,604.5596074168674
14,s43_f4,4.0,-0.5227548009519591,-0.7939853115085098,0.2712305105565507,575.6965500123222,3337.7942812389183,0.025707258341039808,0.00011853475746560692,1996.1740128790427
15,s36_f3,3.0,-0.05565071884506577,-0.08104866884190239,0.025397949996836616,497.03712820664674,3363.9607850528146,0.030220331293105293,8.891612916746661e-05,1794.27323004174
15,s36_f4,4.0,-0.21644693046364297,-0.44102249642302815,0.2245755659593852,715.5801024752645,4685.837699290775,0.029528758757714657,9.901848869999454e-05,3964.2728396472276
15,s43_f3,3.0,-0.06950189585238176,-0.2286442515645026,0.15914235571212085,373.38855109642856,3130.9321779340116,0.030220331293105293,8.891612916746661e-05,1237.5986740711216
15,s43_f4,4.0,-0.22429149993443587,-0.6068072954398279,0.38251579550539205,719.0714782821717,4846.37592827277,0.029528758757714657,9.901848869999454e-05,4110.673836458064
16,s36_f3,3.0,-0.06070250456307787,-0.2256459938412056,0.16494348927812771,515.3865727434985,2564.632101004521,0.023677137683329807,8.439324992967379e-05,963.8801826419905
